name,address,address_link,tennis_courts,pb_courts,city
 George E Elder Park,"34.0408448,-118.1253475","https://maps.google.com/maps?q=34.0408448,-118.1253475"
 Hermon Park,5566 Via Marisol Los Angeles CA,https://maps.google.com/maps?q=5566 Via Marisol Los Angeles CA
 Bella Vista Park,"34.034734,-118.1364591","https://maps.google.com/maps?q=34.034734,-118.1364591"
 Belvedere Community Regional Park,4914 E. Cesar Chavez Ave. Los Angeles CA 90022,https://maps.google.com/maps?q=4914 E. Cesar Chavez Ave. Los Angeles CA 90022
 City Terrace Park,1126 N. Hazard Ave. Los Angeles CA 90063,https://maps.google.com/maps?q=1126 N. Hazard Ave. Los Angeles CA 90063
 Tournament Park,"34.134452,-118.1264593","https://maps.google.com/maps?q=34.134452,-118.1264593"
 Lincoln Park,3501 Valley Blvd Los Angeles CA,https://maps.google.com/maps?q=3501 Valley Blvd Los Angeles CA
 Sycamore Grove Park,4702 N. Figueroa St Los Angeles CA,https://maps.google.com/maps?q=4702 N. Figueroa St Los Angeles CA
 Grant Park,"34.1419517,-118.1250704","https://maps.google.com/maps?q=34.1419517,-118.1250704"
 Hazard Park,2230 Norfolk Street Los Angeles CA,https://maps.google.com/maps?q=2230 Norfolk Street Los Angeles CA
 Eaton Blanche Park,"34.1394516,-118.0831244","https://maps.google.com/maps?q=34.1394516,-118.0831244"
 Saybrook Park,6250 E. Northside Dr. Los Angeles CA 90022,https://maps.google.com/maps?q=6250 E. Northside Dr. Los Angeles CA 90022
 Eagle Rock Recreation Center,1100 Eagle Vista Dr. Los Angeles CA 90041,https://maps.google.com/maps?q=1100 Eagle Vista Dr. Los Angeles CA 90041
 Brookside Park,"34.1536181,-118.164794","https://maps.google.com/maps?q=34.1536181,-118.164794"
 Whittier Narrows Recreation Area,750 S. Santa Anita Ave. South El Monte CA 91733,https://maps.google.com/maps?q=750 S. Santa Anita Ave. South El Monte CA 91733
Arcadia Community Regional Park,405 S. Santa Anita Ave. Arcadia CA 91007,https://maps.google.com/maps?q=405 S. Santa Anita Ave. Arcadia CA 91007
Newcastle Park,"34.14584,-118.0347894","https://maps.google.com/maps?q=34.14584,-118.0347894"
Tierra Verde Park,"34.1213965,-118.0245111","https://maps.google.com/maps?q=34.1213965,-118.0245111"
Camino Grove Park,"34.1238964,-118.018122","https://maps.google.com/maps?q=34.1238964,-118.018122"
Hugo Reid Park,"34.1386183,-118.0672905","https://maps.google.com/maps?q=34.1386183,-118.0672905"
Bicentennial Park,"34.1138968,-118.0189554","https://maps.google.com/maps?q=34.1138968,-118.0189554"
Orange Grove Park,"34.1563953,-118.05229","https://maps.google.com/maps?q=34.1563953,-118.05229"
Sierra Vista Park (City of Sierra Madre),"34.16314477,-118.04000973","https://maps.google.com/maps?q=34.16314477,-118.04000973"
Memorial Park (City of Sierra Madre),222 Sierra Madre Blvd Sierra Madre CA 91024,https://maps.google.com/maps?q=222 Sierra Madre Blvd Sierra Madre CA 91024
 Live Oak Park (City of Temple City),10144 Bogue St Temple City CA 91780,https://maps.google.com/maps?q=10144 Bogue St Temple City CA 91780
 Eaton Blanche Park,"34.1394516,-118.0831244","https://maps.google.com/maps?q=34.1394516,-118.0831244"
 Hamilton Park (City of Pasadena),3680 Cartwright St Pasadena CA 91107,https://maps.google.com/maps?q=3680 Cartwright St Pasadena CA 91107
 Recreation Park,"34.1458399,-117.9883988","https://maps.google.com/maps?q=34.1458399,-117.9883988"
 Duarte Sports Park,1401 Central Ave Duarte CA 91010,https://maps.google.com/maps?q=1401 Central Ave Duarte CA 91010
 Smith Park,"34.0986201,-118.1022916","https://maps.google.com/maps?q=34.0986201,-118.1022916"
 Gordon Sports Park,"34.1366739,-117.9547865","https://maps.google.com/maps?q=34.1366739,-117.9547865"
 Lacy Park,"34.1197304,-118.1222923","https://maps.google.com/maps?q=34.1197304,-118.1222923"
 Grant Park,"34.1419517,-118.1250704","https://maps.google.com/maps?q=34.1419517,-118.1250704"
 Tournament Park,"34.134452,-118.1264593","https://maps.google.com/maps?q=34.134452,-118.1264593"
 Royal Oaks Park,2627 Royal Oaks Dr Duarte CA 91010,https://maps.google.com/maps?q=2627 Royal Oaks Dr Duarte CA 91010
 Encanto Park,751 Encanto Parkway Duarte CA 91010,https://maps.google.com/maps?q=751 Encanto Parkway Duarte CA 91010
 Story Park,"34.0986202,-118.1247923","https://maps.google.com/maps?q=34.0986202,-118.1247923"
 City Of Rosemead Parks And Recreation Department - Garvey Park,7933 E. Emerson Pl. Rosemead CA 91770,https://maps.google.com/maps?q=7933 E. Emerson Pl. Rosemead CA 91770
 South El Monte Community Center,1530 Central Ave South El Monte CA 91733,https://maps.google.com/maps?q=1530 Central Ave South El Monte CA 91733
 San Angelo Park,245 S. San Angelo Ave. La Puente CA 91746,https://maps.google.com/maps?q=245 S. San Angelo Ave. La Puente CA 91746
 Allendale Park,"34.1261192,-118.1447932","https://maps.google.com/maps?q=34.1261192,-118.1447932"
 Irwindale Park,"34.1047306,-117.9336747","https://maps.google.com/maps?q=34.1047306,-117.9336747"
 Garfield Park,"34.1169529,-118.1464599","https://maps.google.com/maps?q=34.1169529,-118.1464599"
 Whittier Narrows Recreation Area,750 S. Santa Anita Ave. South El Monte CA 91733,https://maps.google.com/maps?q=750 S. Santa Anita Ave. South El Monte CA 91733
 Alhambra Park,"34.096676,-118.1459041","https://maps.google.com/maps?q=34.096676,-118.1459041"
Artesia Park,"33.8594596,-118.0789543","https://maps.google.com/maps?q=33.8594596,-118.0789543"
West Gate Park,"33.8597376,-118.1033997","https://maps.google.com/maps?q=33.8597376,-118.1033997"
Liberty Park,"33.8550155,-118.1003438","https://maps.google.com/maps?q=33.8550155,-118.1003438"
Don Knabe Community Regional Park,19700 S. Bloomfield Ave. Cerritos CA 90703,https://maps.google.com/maps?q=19700 S. Bloomfield Ave. Cerritos CA 90703
Caruthers Park,10500 Flora Vista St Bellflower CA 90706,https://maps.google.com/maps?q=10500 Flora Vista St Bellflower CA 90706
Cerritos Park East,13234 E 166th St Cerritos CA 90703,https://maps.google.com/maps?q=13234 E 166th St Cerritos CA 90703
Mayfair Park,"33.8580713,-118.1334007","https://maps.google.com/maps?q=33.8580713,-118.1334007"
Neff Park,"33.8980696,-118.0256198","https://maps.google.com/maps?q=33.8980696,-118.0256198"
Ramona Park (City of Long Beach),Ramona Park Long Beach CA 90805,https://maps.google.com/maps?q=Ramona Park Long Beach CA 90805
 Independence Park (City of Downey),12334 Bellflower Blvd Downey CA 90242,https://maps.google.com/maps?q=12334 Bellflower Blvd Downey CA 90242
 Gardenhill Park,14435 Gardenhill Dr La Mirada CA 90638,https://maps.google.com/maps?q=14435 Gardenhill Dr La Mirada CA 90638
 Lakewood Golf Course,3101 Carson Blvd. Lakewood CA 90712,https://maps.google.com/maps?q=3101 Carson Blvd. Lakewood CA 90712
 La Mirada Community Regional Park,13701 S. Adelfa Ave. La Mirada CA 90638,https://maps.google.com/maps?q=13701 S. Adelfa Ave. La Mirada CA 90638
 Cherry Avenue Park,"33.8394608,-118.1684018","https://maps.google.com/maps?q=33.8394608,-118.1684018"
 Somerset Park,1500 E Carson St Long Beach CA 90807,https://maps.google.com/maps?q=1500 E Carson St Long Beach CA 90807
 College Estates Park,808 Stevely Ave Long Beach CA 90815,https://maps.google.com/maps?q=808 Stevely Ave Long Beach CA 90815
 Scherer Park,"33.8425165,-118.1892359","https://maps.google.com/maps?q=33.8425165,-118.1892359"
 DeForest Park,6255 De Forest Ave Long Beach CA 90805,https://maps.google.com/maps?q=6255 De Forest Ave Long Beach CA 90805
 City Of South Gate Parks And Recreation Department - Hollydale Regional Park,5400 Monroe Ave. South Gate CA 90280,https://maps.google.com/maps?q=5400 Monroe Ave. South Gate CA 90280
 Washington Ave Park,15614 S. Washington Ave. Compton CA 90221,https://maps.google.com/maps?q=15614 S. Washington Ave. Compton CA 90221
 East Rancho Dominguez Park,15116 S. Atlantic Ave. Compton CA 90221,https://maps.google.com/maps?q=15116 S. Atlantic Ave. Compton CA 90221
 Furman Park,"33.9536252,-118.1372914","https://maps.google.com/maps?q=33.9536252,-118.1372914"
 Leffingwell Ranch Park,"33.9394574,-117.9945085","https://maps.google.com/maps?q=33.9394574,-117.9945085"
 Marine Vista Park,"33.7689061,-118.12701","https://maps.google.com/maps?q=33.7689061,-118.12701"
 Los Cerritos Park,County Club Dr Long Beach CA 90807,https://maps.google.com/maps?q=County Club Dr Long Beach CA 90807
 Veterans Park (City of Long Beach),101 E 28th St Long Beach CA 90806,https://maps.google.com/maps?q=101 E 28th St Long Beach CA 90806
 Lueders Park,1500 E Rosecrans Ave Compton CA 90221,https://maps.google.com/maps?q=1500 E Rosecrans Ave Compton CA 90221
 Bell Gardens Park,"33.967514,-118.145903","https://maps.google.com/maps?q=33.967514,-118.145903"
 Dominguez Park,"33.8347391,-118.2142367","https://maps.google.com/maps?q=33.8347391,-118.2142367"
 South Gate Park,"33.9452925,-118.1853484","https://maps.google.com/maps?q=33.9452925,-118.1853484"
Cabrillo Beach Marina and Rec. Complex,Cabrillo Beach San Pedro CA 90731,https://maps.google.com/maps?q=Cabrillo Beach San Pedro CA 90731
Ralph C. Daniels Field Sports Center,845  12th St San Pedro CA 90731,https://maps.google.com/maps?q=845  12th St San Pedro CA 90731
Point Vicente Park and Civic Center,30940 Hawthorne Blvd Rancho Palos Verdes CA 90275,https://maps.google.com/maps?q=30940 Hawthorne Blvd Rancho Palos Verdes CA 90275
Peck Park and Community Center,560 N. Western Ave. San Pedro CA 90732,https://maps.google.com/maps?q=560 N. Western Ave. San Pedro CA 90732
Drake Park,Willmore Long Beach CA 90813,https://maps.google.com/maps?q=Willmore Long Beach CA 90813
De Portola Park,"33.7930722,-118.3431282","https://maps.google.com/maps?q=33.7930722,-118.3431282"
Ernie J Howlett Park,"33.7933498,-118.3514618","https://maps.google.com/maps?q=33.7933498,-118.3514618"
Banning Park,1331  Eubank Ave. Wilmington CA 90744,https://maps.google.com/maps?q=1331  Eubank Ave. Wilmington CA 90744
Marine Vista Park,"33.7689061,-118.12701","https://maps.google.com/maps?q=33.7689061,-118.12701"
 Lomita Park,"33.8033502,-118.3139612","https://maps.google.com/maps?q=33.8033502,-118.3139612"
 Walteria Park,"33.805294,-118.353962","https://maps.google.com/maps?q=33.805294,-118.353962"
 Brea Park,"33.8105723,-118.3134057","https://maps.google.com/maps?q=33.8105723,-118.3134057"
 Scott Park,"33.8139062,-118.2706272","https://maps.google.com/maps?q=33.8139062,-118.2706272"
 El Retiro Park,"33.8152935,-118.3778514","https://maps.google.com/maps?q=33.8152935,-118.3778514"
 College Estates Park,808 Stevely Ave Long Beach CA 90815,https://maps.google.com/maps?q=808 Stevely Ave Long Beach CA 90815
 Hickory Park,"33.8175163,-118.3356285","https://maps.google.com/maps?q=33.8175163,-118.3356285"
 Veterans Park (City of Long Beach),101 E 28th St Long Beach CA 90806,https://maps.google.com/maps?q=101 E 28th St Long Beach CA 90806
 Veterans Park,"33.8236281,-118.2806275","https://maps.google.com/maps?q=33.8236281,-118.2806275"
 Charles H Wilson Park,"33.8261274,-118.3247951","https://maps.google.com/maps?q=33.8261274,-118.3247951"
 Calas Park,"33.8272395,-118.2559048","https://maps.google.com/maps?q=33.8272395,-118.2559048"
 Alta Vista Park,"33.8302932,-118.3781295","https://maps.google.com/maps?q=33.8302932,-118.3781295"
 Paradise Park,"33.8355711,-118.3645182","https://maps.google.com/maps?q=33.8355711,-118.3645182"
 Los Cerritos Park,County Club Dr Long Beach CA 90807,https://maps.google.com/maps?q=County Club Dr Long Beach CA 90807
 Dolphin Park,"33.8369616,-118.2425712","https://maps.google.com/maps?q=33.8369616,-118.2425712"
 Dominguez Park,"33.8347391,-118.2142367","https://maps.google.com/maps?q=33.8347391,-118.2142367"
 Somerset Park,1500 E Carson St Long Beach CA 90807,https://maps.google.com/maps?q=1500 E Carson St Long Beach CA 90807
 La Romeria Park,"33.8536263,-118.3614629","https://maps.google.com/maps?q=33.8536263,-118.3614629"
 Lakewood Golf Course,3101 Carson Blvd. Lakewood CA 90712,https://maps.google.com/maps?q=3101 Carson Blvd. Lakewood CA 90712
 Scherer Park,"33.8425165,-118.1892359","https://maps.google.com/maps?q=33.8425165,-118.1892359"
 Cherry Avenue Park,"33.8394608,-118.1684018","https://maps.google.com/maps?q=33.8394608,-118.1684018"
Northside Park,"34.1422294,-117.9139518","https://maps.google.com/maps?q=34.1422294,-117.9139518"
City of Azusa Memorial Park,320 N. Orange Pl. Azusa CA 91702,https://maps.google.com/maps?q=320 N. Orange Pl. Azusa CA 91702
Encanto Park,751 Encanto Parkway Duarte CA 91010,https://maps.google.com/maps?q=751 Encanto Parkway Duarte CA 91010
Royal Oaks Park,2627 Royal Oaks Dr Duarte CA 91010,https://maps.google.com/maps?q=2627 Royal Oaks Dr Duarte CA 91010
Irwindale Park,"34.1047306,-117.9336747","https://maps.google.com/maps?q=34.1047306,-117.9336747"
Gordon Sports Park,"34.1366739,-117.9547865","https://maps.google.com/maps?q=34.1366739,-117.9547865"
Dawson Park,"34.1180639,-117.8664501","https://maps.google.com/maps?q=34.1180639,-117.8664501"
Covina Park,"34.0880648,-117.8953399","https://maps.google.com/maps?q=34.0880648,-117.8953399"
Duarte Sports Park,1401 Central Ave Duarte CA 91010,https://maps.google.com/maps?q=1401 Central Ave Duarte CA 91010
 Kahler Russell Park,735 N Glendora Ave Covina CA 91724,https://maps.google.com/maps?q=735 N Glendora Ave Covina CA 91724
 Recreation Park,"34.1458399,-117.9883988","https://maps.google.com/maps?q=34.1458399,-117.9883988"
 Lone Hill Park,"34.1113975,-117.8342267","https://maps.google.com/maps?q=34.1113975,-117.8342267"
 SportsPlex,"34.09734844,-117.82264394","https://maps.google.com/maps?q=34.09734844,-117.82264394"
 Pioneer Park,"34.1050089,-117.812837","https://maps.google.com/maps?q=34.1050089,-117.812837"
 Ladera Serra Park,"34.0791764,-117.827282","https://maps.google.com/maps?q=34.0791764,-117.827282"
 Camino Grove Park,"34.1238964,-118.018122","https://maps.google.com/maps?q=34.1238964,-118.018122"
 Bicentennial Park,"34.1138968,-118.0189554","https://maps.google.com/maps?q=34.1138968,-118.0189554"
 Marchant Park,"34.1113977,-117.7989478","https://maps.google.com/maps?q=34.1113977,-117.7989478"
 Tierra Verde Park,"34.1213965,-118.0245111","https://maps.google.com/maps?q=34.1213965,-118.0245111"
 Arcadia Community Regional Park,405 S. Santa Anita Ave. Arcadia CA 91007,https://maps.google.com/maps?q=405 S. Santa Anita Ave. Arcadia CA 91007
 Newcastle Park,"34.14584,-118.0347894","https://maps.google.com/maps?q=34.14584,-118.0347894"
 Walnut Ranch Park,"34.0386221,-117.8631164","https://maps.google.com/maps?q=34.0386221,-117.8631164"
 Sierra Vista Park (City of Sierra Madre),"34.16314477,-118.04000973","https://maps.google.com/maps?q=34.16314477,-118.04000973"
 San Angelo Park,245 S. San Angelo Ave. La Puente CA 91746,https://maps.google.com/maps?q=245 S. San Angelo Ave. La Puente CA 91746
 Shadow Oak Park,"34.0191782,-117.8995066","https://maps.google.com/maps?q=34.0191782,-117.8995066"
 Live Oak Park (City of Temple City),10144 Bogue St Temple City CA 91780,https://maps.google.com/maps?q=10144 Bogue St Temple City CA 91780
 Orange Grove Park,"34.1563953,-118.05229","https://maps.google.com/maps?q=34.1563953,-118.05229"
 La Verne Sports Park,3104 D St La Verne CA 91750,https://maps.google.com/maps?q=3104 D St La Verne CA 91750
 Memorial Park (City of Sierra Madre),222 Sierra Madre Blvd Sierra Madre CA 91024,https://maps.google.com/maps?q=222 Sierra Madre Blvd Sierra Madre CA 91024
 Las Flores Park,"34.1055648,-117.7642243","https://maps.google.com/maps?q=34.1055648,-117.7642243"
Irwindale Park,"34.1047306,-117.9336747","https://maps.google.com/maps?q=34.1047306,-117.9336747"
San Angelo Park,245 S. San Angelo Ave. La Puente CA 91746,https://maps.google.com/maps?q=245 S. San Angelo Ave. La Puente CA 91746
Bicentennial Park,"34.1138968,-118.0189554","https://maps.google.com/maps?q=34.1138968,-118.0189554"
Duarte Sports Park,1401 Central Ave Duarte CA 91010,https://maps.google.com/maps?q=1401 Central Ave Duarte CA 91010
Gordon Sports Park,"34.1366739,-117.9547865","https://maps.google.com/maps?q=34.1366739,-117.9547865"
Camino Grove Park,"34.1238964,-118.018122","https://maps.google.com/maps?q=34.1238964,-118.018122"
Tierra Verde Park,"34.1213965,-118.0245111","https://maps.google.com/maps?q=34.1213965,-118.0245111"
Encanto Park,751 Encanto Parkway Duarte CA 91010,https://maps.google.com/maps?q=751 Encanto Parkway Duarte CA 91010
Covina Park,"34.0880648,-117.8953399","https://maps.google.com/maps?q=34.0880648,-117.8953399"
 Recreation Park,"34.1458399,-117.9883988","https://maps.google.com/maps?q=34.1458399,-117.9883988"
 Live Oak Park (City of Temple City),10144 Bogue St Temple City CA 91780,https://maps.google.com/maps?q=10144 Bogue St Temple City CA 91780
 Royal Oaks Park,2627 Royal Oaks Dr Duarte CA 91010,https://maps.google.com/maps?q=2627 Royal Oaks Dr Duarte CA 91010
 City of Azusa Memorial Park,320 N. Orange Pl. Azusa CA 91702,https://maps.google.com/maps?q=320 N. Orange Pl. Azusa CA 91702
 South El Monte Community Center,1530 Central Ave South El Monte CA 91733,https://maps.google.com/maps?q=1530 Central Ave South El Monte CA 91733
 Arcadia Community Regional Park,405 S. Santa Anita Ave. Arcadia CA 91007,https://maps.google.com/maps?q=405 S. Santa Anita Ave. Arcadia CA 91007
 Northside Park,"34.1422294,-117.9139518","https://maps.google.com/maps?q=34.1422294,-117.9139518"
 William Steinmetz Park,1545 S. Stimson Ave. Hacienda Heights CA 91745,https://maps.google.com/maps?q=1545 S. Stimson Ave. Hacienda Heights CA 91745
 Newcastle Park,"34.14584,-118.0347894","https://maps.google.com/maps?q=34.14584,-118.0347894"
 Whittier Narrows Recreation Area,750 S. Santa Anita Ave. South El Monte CA 91733,https://maps.google.com/maps?q=750 S. Santa Anita Ave. South El Monte CA 91733
 Shadow Oak Park,"34.0191782,-117.8995066","https://maps.google.com/maps?q=34.0191782,-117.8995066"
 Kahler Russell Park,735 N Glendora Ave Covina CA 91724,https://maps.google.com/maps?q=735 N Glendora Ave Covina CA 91724
 Dawson Park,"34.1180639,-117.8664501","https://maps.google.com/maps?q=34.1180639,-117.8664501"
 Hugo Reid Park,"34.1386183,-118.0672905","https://maps.google.com/maps?q=34.1386183,-118.0672905"
 Sierra Vista Park (City of Sierra Madre),"34.16314477,-118.04000973","https://maps.google.com/maps?q=34.16314477,-118.04000973"
 Orange Grove Park,"34.1563953,-118.05229","https://maps.google.com/maps?q=34.1563953,-118.05229"
 Walnut Ranch Park,"34.0386221,-117.8631164","https://maps.google.com/maps?q=34.0386221,-117.8631164"
 City Of Rosemead Parks And Recreation Department - Garvey Park,7933 E. Emerson Pl. Rosemead CA 91770,https://maps.google.com/maps?q=7933 E. Emerson Pl. Rosemead CA 91770
 Memorial Park (City of Sierra Madre),222 Sierra Madre Blvd Sierra Madre CA 91024,https://maps.google.com/maps?q=222 Sierra Madre Blvd Sierra Madre CA 91024
 Eaton Blanche Park,"34.1394516,-118.0831244","https://maps.google.com/maps?q=34.1394516,-118.0831244"
 Peter F Schabarum Regional County Park,17250 E. Colima Rd. Hacienda Heights CA 91745,https://maps.google.com/maps?q=17250 E. Colima Rd. Hacienda Heights CA 91745
Cudahy Park,"33.9589033,-118.1739594","https://maps.google.com/maps?q=33.9589033,-118.1739594"
Salt Lake Park,"33.9741811,-118.2064607","https://maps.google.com/maps?q=33.9741811,-118.2064607"
Bell Gardens Park,"33.967514,-118.145903","https://maps.google.com/maps?q=33.967514,-118.145903"
South Gate Park,"33.9452925,-118.1853484","https://maps.google.com/maps?q=33.9452925,-118.1853484"
Furman Park,"33.9536252,-118.1372914","https://maps.google.com/maps?q=33.9536252,-118.1372914"
Ruben F Salazar Park,3864 Whittier Blvd. Los Angeles CA 90023,https://maps.google.com/maps?q=3864 Whittier Blvd. Los Angeles CA 90023
Lynwood Park,"33.927793,-118.2028487","https://maps.google.com/maps?q=33.927793,-118.2028487"
Saybrook Park,6250 E. Northside Dr. Los Angeles CA 90022,https://maps.google.com/maps?q=6250 E. Northside Dr. Los Angeles CA 90022
Franklin D. Roosevelt Park,7600 Graham Ave. Los Angeles CA 90001,https://maps.google.com/maps?q=7600 Graham Ave. Los Angeles CA 90001
 City Of South Gate Parks And Recreation Department - Hollydale Regional Park,5400 Monroe Ave. South Gate CA 90280,https://maps.google.com/maps?q=5400 Monroe Ave. South Gate CA 90280
 Col. Leon H. Washington Park,8908 S. Maie Ave. Los Angeles CA 90002,https://maps.google.com/maps?q=8908 S. Maie Ave. Los Angeles CA 90002
 Montebello Park,"34.0097349,-118.1153471","https://maps.google.com/maps?q=34.0097349,-118.1153471"
 Ross Snyder Recreation Center,1501 E. 41st St. Los Angeles CA 90011,https://maps.google.com/maps?q=1501 E. 41st St. Los Angeles CA 90011
 Belvedere Community Regional Park,4914 E. Cesar Chavez Ave. Los Angeles CA 90022,https://maps.google.com/maps?q=4914 E. Cesar Chavez Ave. Los Angeles CA 90022
 Ted Watkins Memorial Park,1335 E. 103rd St. Los Angeles CA 90002,https://maps.google.com/maps?q=1335 E. 103rd St. Los Angeles CA 90002
 109th Street Recreation Center,1464 E. 109Th St. Los Angeles CA 90059,https://maps.google.com/maps?q=1464 E. 109Th St. Los Angeles CA 90059
 Bella Vista Park,"34.034734,-118.1364591","https://maps.google.com/maps?q=34.034734,-118.1364591"
 Independence Park (City of Downey),12334 Bellflower Blvd Downey CA 90242,https://maps.google.com/maps?q=12334 Bellflower Blvd Downey CA 90242
 City Terrace Park,1126 N. Hazard Ave. Los Angeles CA 90063,https://maps.google.com/maps?q=1126 N. Hazard Ave. Los Angeles CA 90063
 Lueders Park,1500 E Rosecrans Ave Compton CA 90221,https://maps.google.com/maps?q=1500 E Rosecrans Ave Compton CA 90221
 Sunnyslopes Park,"34.0464004,-118.1511818","https://maps.google.com/maps?q=34.0464004,-118.1511818"
 Green Meadows Rec. Center,431  89th St Los Angeles CA 90003,https://maps.google.com/maps?q=431  89th St Los Angeles CA 90003
